"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"Jefferson County, AL"	"01073"	139	659300	21.1
	"Large Central Metro"	"1"	"Maricopa County, AZ"	"04013"	189	4410824	4.3
	"Large Central Metro"	"1"	"Alameda County, CA"	"06001"	61	1666753	3.7
	"Large Central Metro"	"1"	"Los Angeles County, CA"	"06037"	422	10105518	4.2
	"Large Central Metro"	"1"	"Orange County, CA"	"06059"	31	3185968	1.0
	"Large Central Metro"	"1"	"Riverside County, CA"	"06065"	76	2450758	3.1
	"Large Central Metro"	"1"	"Sacramento County, CA"	"06067"	58	1540975	3.8
	"Large Central Metro"	"1"	"San Diego County, CA"	"06073"	56	3343364	1.7
	"Large Central Metro"	"1"	"San Francisco County, CA"	"06075"	24	883305	2.7
	"Large Central Metro"	"1"	"Santa Clara County, CA"	"06085"	17	1937570	Unreliable
	"Large Central Metro"	"1"	"Denver County, CO"	"08031"	40	716492	5.6
	"Large Central Metro"	"1"	"Hartford County, CT"	"09003"	19	892697	Unreliable
	"Large Central Metro"	"1"	"District of Columbia, DC"	"11001"	116	702455	16.5
	"Large Central Metro"	"1"	"Duval County, FL"	"12031"	99	950181	10.4
	"Large Central Metro"	"1"	"Hillsborough County, FL"	"12057"	52	1436888	3.6
	"Large Central Metro"	"1"	"Miami-Dade County, FL"	"12086"	163	2761581	5.9
	"Large Central Metro"	"1"	"Orange County, FL"	"12095"	92	1380645	6.7
	"Large Central Metro"	"1"	"Pinellas County, FL"	"12103"	33	975280	3.4
	"Large Central Metro"	"1"	"Fulton County, GA"	"13121"	102	1050114	9.7
	"Large Central Metro"	"1"	"Cook County, IL"	"17031"	564	5180493	10.9
	"Large Central Metro"	"1"	"Marion County, IN"	"18097"	146	954670	15.3
	"Large Central Metro"	"1"	"Jefferson County, KY"	"21111"	74	770517	9.6
	"Large Central Metro"	"1"	"Orleans Parish, LA"	"22071"	106	391006	27.1
	"Large Central Metro"	"1"	"Baltimore city, MD"	"24510"	224	602495	37.2
	"Large Central Metro"	"1"	"Suffolk County, MA"	"25025"	46	807252	5.7
	"Large Central Metro"	"1"	"Kent County, MI"	"26081"	13	653786	Unreliable
	"Large Central Metro"	"1"	"Wayne County, MI"	"26163"	249	1753893	14.2
	"Large Central Metro"	"1"	"Hennepin County, MN"	"27053"	21	1259428	1.7
	"Large Central Metro"	"1"	"Ramsey County, MN"	"27123"	15	550210	Unreliable
	"Large Central Metro"	"1"	"Jackson County, MO"	"29095"	141	700307	20.1
	"Large Central Metro"	"1"	"St. Louis city, MO"	"29510"	122	302838	40.3
	"Large Central Metro"	"1"	"Clark County, NV"	"32003"	134	2231647	6.0
	"Large Central Metro"	"1"	"Essex County, NJ"	"34013"	75	799767	9.4
	"Large Central Metro"	"1"	"Hudson County, NJ"	"34017"	17	676061	Unreliable
	"Large Central Metro"	"1"	"Union County, NJ"	"34039"	Suppressed	558067	Suppressed
	"Large Central Metro"	"1"	"Bronx County, NY"	"36005"	55	1432132	3.8
	"Large Central Metro"	"1"	"Erie County, NY"	"36029"	51	919719	5.5
	"Large Central Metro"	"1"	"Kings County, NY"	"36047"	74	2582830	2.9
	"Large Central Metro"	"1"	"Monroe County, NY"	"36055"	26	742474	3.5
	"Large Central Metro"	"1"	"New York County, NY"	"36061"	10	1628701	Unreliable
	"Large Central Metro"	"1"	"Queens County, NY"	"36081"	34	2278906	1.5
	"Large Central Metro"	"1"	"Richmond County, NY"	"36085"	Suppressed	476179	Suppressed
	"Large Central Metro"	"1"	"Mecklenburg County, NC"	"37119"	60	1093901	5.5
	"Large Central Metro"	"1"	"Wake County, NC"	"37183"	12	1092305	Unreliable
	"Large Central Metro"	"1"	"Cuyahoga County, OH"	"39035"	125	1243857	10.0
	"Large Central Metro"	"1"	"Franklin County, OH"	"39049"	97	1310300	7.4
	"Large Central Metro"	"1"	"Hamilton County, OH"	"39061"	61	816684	7.5
	"Large Central Metro"	"1"	"Oklahoma County, OK"	"40109"	45	792582	5.7
	"Large Central Metro"	"1"	"Multnomah County, OR"	"41051"	16	811880	Unreliable
	"Large Central Metro"	"1"	"Allegheny County, PA"	"42003"	91	1218452	7.5
	"Large Central Metro"	"1"	"Philadelphia County, PA"	"42101"	298	1584138	18.8
	"Large Central Metro"	"1"	"Providence County, RI"	"44007"	11	636084	Unreliable
	"Large Central Metro"	"1"	"Davidson County, TN"	"47037"	82	692587	11.8
	"Large Central Metro"	"1"	"Shelby County, TN"	"47157"	212	935764	22.7
	"Large Central Metro"	"1"	"Bexar County, TX"	"48029"	112	1986049	5.6
	"Large Central Metro"	"1"	"Collin County, TX"	"48085"	11	1005146	Unreliable
	"Large Central Metro"	"1"	"Dallas County, TX"	"48113"	174	2637772	6.6
	"Large Central Metro"	"1"	"Harris County, TX"	"48201"	305	4698619	6.5
	"Large Central Metro"	"1"	"Tarrant County, TX"	"48439"	65	2084931	3.1
	"Large Central Metro"	"1"	"Travis County, TX"	"48453"	27	1248743	2.2
	"Large Central Metro"	"1"	"Salt Lake County, UT"	"49035"	15	1152633	Unreliable
	"Large Central Metro"	"1"	"Arlington County, VA"	"51013"	Suppressed	237521	Suppressed
	"Large Central Metro"	"1"	"Alexandria city, VA"	"51510"	Suppressed	160530	Suppressed
	"Large Central Metro"	"1"	"Norfolk city, VA"	"51710"	27	244076	11.1
	"Large Central Metro"	"1"	"Richmond city, VA"	"51760"	37	228783	16.2
	"Large Central Metro"	"1"	"Virginia Beach city, VA"	"51810"	17	450189	Unreliable
	"Large Central Metro"	"1"	"King County, WA"	"53033"	59	2233163	2.6
	"Large Central Metro"	"1"	"Milwaukee County, WI"	"55079"	104	948201	11.0
"Total"	"Large Central Metro"	"1"			6065	100848936	6.0
	"Large Fringe Metro"	"2"	"Bibb County, AL"	"01007"	Suppressed	22400	Suppressed
	"Large Fringe Metro"	"2"	"Blount County, AL"	"01009"	Suppressed	57840	Suppressed
	"Large Fringe Metro"	"2"	"Chilton County, AL"	"01021"	Suppressed	44153	Suppressed
	"Large Fringe Metro"	"2"	"St. Clair County, AL"	"01115"	Suppressed	88690	Suppressed
	"Large Fringe Metro"	"2"	"Shelby County, AL"	"01117"	Suppressed	215707	Suppressed
	"Large Fringe Metro"	"2"	"Walker County, AL"	"01127"	Suppressed	63711	Suppressed
	"Large Fringe Metro"	"2"	"Pinal County, AZ"	"04021"	14	447138	Unreliable
	"Large Fringe Metro"	"2"	"Crittenden County, AR"	"05035"	13	48342	Unreliable
	"Large Fringe Metro"	"2"	"Contra Costa County, CA"	"06013"	43	1150215	3.7
	"Large Fringe Metro"	"2"	"El Dorado County, CA"	"06017"	Suppressed	190678	Suppressed
	"Large Fringe Metro"	"2"	"Marin County, CA"	"06041"	Suppressed	259666	Suppressed
	"Large Fringe Metro"	"2"	"Placer County, CA"	"06061"	Suppressed	393149	Suppressed
	"Large Fringe Metro"	"2"	"San Benito County, CA"	"06069"	Suppressed	61537	Suppressed
	"Large Fringe Metro"	"2"	"San Bernardino County, CA"	"06071"	95	2171603	4.4
	"Large Fringe Metro"	"2"	"San Mateo County, CA"	"06081"	Suppressed	769545	Suppressed
	"Large Fringe Metro"	"2"	"Yolo County, CA"	"06113"	Suppressed	220408	Suppressed
	"Large Fringe Metro"	"2"	"Adams County, CO"	"08001"	25	511868	4.9
	"Large Fringe Metro"	"2"	"Arapahoe County, CO"	"08005"	18	651215	Unreliable
	"Large Fringe Metro"	"2"	"Broomfield County, CO"	"08014"	Suppressed	69267	Suppressed
	"Large Fringe Metro"	"2"	"Clear Creek County, CO"	"08019"	Suppressed	9605	Suppressed
	"Large Fringe Metro"	"2"	"Douglas County, CO"	"08035"	Suppressed	342776	Suppressed
	"Large Fringe Metro"	"2"	"Elbert County, CO"	"08039"	0	26282	Unreliable
	"Large Fringe Metro"	"2"	"Gilpin County, CO"	"08047"	0	6121	Unreliable
	"Large Fringe Metro"	"2"	"Jefferson County, CO"	"08059"	10	580233	Unreliable
	"Large Fringe Metro"	"2"	"Park County, CO"	"08093"	0	18556	Unreliable
	"Large Fringe Metro"	"2"	"Middlesex County, CT"	"09007"	Suppressed	162682	Suppressed
	"Large Fringe Metro"	"2"	"Tolland County, CT"	"09013"	Suppressed	150921	Suppressed
	"Large Fringe Metro"	"2"	"New Castle County, DE"	"10003"	33	559335	5.9
	"Large Fringe Metro"	"2"	"Baker County, FL"	"12003"	Suppressed	28355	Suppressed
	"Large Fringe Metro"	"2"	"Broward County, FL"	"12011"	98	1951260	5.0
	"Large Fringe Metro"	"2"	"Clay County, FL"	"12019"	Suppressed	216072	Suppressed
	"Large Fringe Metro"	"2"	"Hernando County, FL"	"12053"	Suppressed	190865	Suppressed
	"Large Fringe Metro"	"2"	"Lake County, FL"	"12069"	11	356495	Unreliable
	"Large Fringe Metro"	"2"	"Nassau County, FL"	"12089"	Suppressed	85832	Suppressed
	"Large Fringe Metro"	"2"	"Osceola County, FL"	"12097"	16	367990	Unreliable
	"Large Fringe Metro"	"2"	"Palm Beach County, FL"	"12099"	74	1485941	5.0
	"Large Fringe Metro"	"2"	"Pasco County, FL"	"12101"	17	539630	Unreliable
	"Large Fringe Metro"	"2"	"St. Johns County, FL"	"12109"	Suppressed	254261	Suppressed
	"Large Fringe Metro"	"2"	"Seminole County, FL"	"12117"	13	467832	Unreliable
	"Large Fringe Metro"	"2"	"Barrow County, GA"	"13013"	Suppressed	80809	Suppressed
	"Large Fringe Metro"	"2"	"Bartow County, GA"	"13015"	Suppressed	106408	Suppressed
	"Large Fringe Metro"	"2"	"Butts County, GA"	"13035"	Suppressed	24193	Suppressed
	"Large Fringe Metro"	"2"	"Carroll County, GA"	"13045"	Suppressed	118121	Suppressed
	"Large Fringe Metro"	"2"	"Cherokee County, GA"	"13057"	Suppressed	254149	Suppressed
	"Large Fringe Metro"	"2"	"Clayton County, GA"	"13063"	39	289615	13.5
	"Large Fringe Metro"	"2"	"Cobb County, GA"	"13067"	20	756865	2.6
	"Large Fringe Metro"	"2"	"Coweta County, GA"	"13077"	Suppressed	145864	Suppressed
	"Large Fringe Metro"	"2"	"Dawson County, GA"	"13085"	0	25083	Unreliable
	"Large Fringe Metro"	"2"	"DeKalb County, GA"	"13089"	82	756558	10.8
	"Large Fringe Metro"	"2"	"Douglas County, GA"	"13097"	Suppressed	145331	Suppressed
	"Large Fringe Metro"	"2"	"Fayette County, GA"	"13113"	Suppressed	113459	Suppressed
	"Large Fringe Metro"	"2"	"Forsyth County, GA"	"13117"	Suppressed	236612	Suppressed
	"Large Fringe Metro"	"2"	"Gwinnett County, GA"	"13135"	35	927781	3.8
	"Large Fringe Metro"	"2"	"Haralson County, GA"	"13143"	Suppressed	29533	Suppressed
	"Large Fringe Metro"	"2"	"Heard County, GA"	"13149"	0	11879	Unreliable
	"Large Fringe Metro"	"2"	"Henry County, GA"	"13151"	17	230220	Unreliable
	"Large Fringe Metro"	"2"	"Jasper County, GA"	"13159"	0	14040	Unreliable
	"Large Fringe Metro"	"2"	"Lamar County, GA"	"13171"	0	19000	Unreliable
	"Large Fringe Metro"	"2"	"Meriwether County, GA"	"13199"	Suppressed	21068	Suppressed
	"Large Fringe Metro"	"2"	"Morgan County, GA"	"13211"	0	18853	Unreliable
	"Large Fringe Metro"	"2"	"Newton County, GA"	"13217"	Suppressed	109541	Suppressed
	"Large Fringe Metro"	"2"	"Paulding County, GA"	"13223"	Suppressed	164044	Suppressed
	"Large Fringe Metro"	"2"	"Pickens County, GA"	"13227"	0	31980	Unreliable
	"Large Fringe Metro"	"2"	"Pike County, GA"	"13231"	0	18634	Unreliable
	"Large Fringe Metro"	"2"	"Rockdale County, GA"	"13247"	Suppressed	90594	Suppressed
	"Large Fringe Metro"	"2"	"Spalding County, GA"	"13255"	Suppressed	66100	Suppressed
	"Large Fringe Metro"	"2"	"Walton County, GA"	"13297"	Suppressed	93503	Suppressed
	"Large Fringe Metro"	"2"	"Bond County, IL"	"17005"	0	16630	Unreliable
	"Large Fringe Metro"	"2"	"Calhoun County, IL"	"17013"	0	4802	Unreliable
	"Large Fringe Metro"	"2"	"Clinton County, IL"	"17027"	0	37639	Unreliable
	"Large Fringe Metro"	"2"	"DeKalb County, IL"	"17037"	Suppressed	104143	Suppressed
	"Large Fringe Metro"	"2"	"DuPage County, IL"	"17043"	12	928589	Unreliable
	"Large Fringe Metro"	"2"	"Grundy County, IL"	"17063"	0	50972	Unreliable
	"Large Fringe Metro"	"2"	"Jersey County, IL"	"17083"	0	21847	Unreliable
	"Large Fringe Metro"	"2"	"Kane County, IL"	"17089"	Suppressed	534216	Suppressed
	"Large Fringe Metro"	"2"	"Kendall County, IL"	"17093"	Suppressed	127915	Suppressed
