"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	55869	Suppressed
	"Baldwin County, AL"	"01003"	Suppressed	223234	Suppressed
	"Barbour County, AL"	"01005"	Suppressed	24686	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22394	Suppressed
	"Blount County, AL"	"01009"	Suppressed	57826	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	10101	Suppressed
	"Butler County, AL"	"01013"	Suppressed	19448	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	113605	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	33254	Suppressed
	"Cherokee County, AL"	"01019"	0	26196	Unreliable
	"Chilton County, AL"	"01021"	Suppressed	44428	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	12589	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	23622	Suppressed
	"Clay County, AL"	"01027"	0	13235	Unreliable
	"Cleburne County, AL"	"01029"	Suppressed	14910	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	52342	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	55241	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	12067	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10663	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37049	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13772	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	83768	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49172	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	37196	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	71513	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	81209	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	36633	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	102268	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	16302	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31362	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26271	Suppressed
	"Greene County, AL"	"01063"	Suppressed	8111	Suppressed
	"Hale County, AL"	"01065"	Suppressed	14651	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17205	Suppressed
	"Houston County, AL"	"01069"	10	105882	Unreliable
	"Jackson County, AL"	"01071"	Suppressed	51626	Suppressed
	"Jefferson County, AL"	"01073"	139	658573	21.1
	"Lamar County, AL"	"01075"	0	13805	Unreliable
	"Lauderdale County, AL"	"01077"	Suppressed	92729	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	32924	Suppressed
	"Lee County, AL"	"01081"	13	164542	Unreliable
	"Limestone County, AL"	"01083"	Suppressed	98915	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	9726	Suppressed
	"Macon County, AL"	"01087"	11	18068	Unreliable
	"Madison County, AL"	"01089"	24	372909	6.4
	"Marengo County, AL"	"01091"	Suppressed	18863	Suppressed
	"Marion County, AL"	"01093"	0	29709	Unreliable
	"Marshall County, AL"	"01095"	Suppressed	96774	Suppressed
	"Mobile County, AL"	"01097"	55	413210	13.3
	"Monroe County, AL"	"01099"	Suppressed	20733	Suppressed
	"Montgomery County, AL"	"01101"	37	226486	16.3
	"Morgan County, AL"	"01103"	Suppressed	119679	Suppressed
	"Perry County, AL"	"01105"	Suppressed	8923	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	19930	Suppressed
	"Pike County, AL"	"01109"	Suppressed	33114	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22722	Suppressed
	"Russell County, AL"	"01113"	12	57961	Unreliable
	"St. Clair County, AL"	"01115"	Suppressed	89512	Suppressed
	"Shelby County, AL"	"01117"	Suppressed	217702	Suppressed
	"Sumter County, AL"	"01119"	Suppressed	12427	Suppressed
	"Talladega County, AL"	"01121"	11	79978	Unreliable
	"Tallapoosa County, AL"	"01123"	Suppressed	40367	Suppressed
	"Tuscaloosa County, AL"	"01125"	15	209355	Unreliable
	"Walker County, AL"	"01127"	Suppressed	63521	Suppressed
	"Washington County, AL"	"01129"	0	16326	Unreliable
	"Wilcox County, AL"	"01131"	Suppressed	10373	Suppressed
	"Winston County, AL"	"01133"	Suppressed	23629	Suppressed
	"Aleutians East Borough, AK"	"02013"	0	3337	Unreliable
	"Aleutians West Census Area, AK"	"02016"	0	5634	Unreliable
	"Anchorage Borough, AK"	"02020"	23	288000	8.0
	"Bethel Census Area, AK"	"02050"	Suppressed	18386	Suppressed
	"Bristol Bay Borough, AK"	"02060"	0	836	Unreliable
	"Denali Borough, AK"	"02068"	0	2097	Unreliable
	"Dillingham Census Area, AK"	"02070"	Suppressed	4916	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	96849	Suppressed
	"Haines Borough, AK"	"02100"	0	2530	Unreliable
	"Hoonah-Angoon Census Area, AK"	"02105"	0	2148	Unreliable
	"Juneau Borough, AK"	"02110"	0	31974	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	58708	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	0	13901	Unreliable
	"Kodiak Island Borough, AK"	"02150"	0	12998	Unreliable
	"Lake and Peninsula Borough, AK"	"02164"	0	1592	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	10	108317	Unreliable
	"Nome Census Area, AK"	"02180"	0	10004	Unreliable
	"North Slope Borough, AK"	"02185"	Suppressed	9832	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	0	7621	Unreliable
	"Petersburg Borough/Census Area, AK"	"02195"	0	3266	Unreliable
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	6203	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing
	"Sitka Borough, AK"	"02220"	0	8493	Unreliable
	"Skagway Municipality, AK"	"02230"	0	1183	Unreliable
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing
	"Southeast Fairbanks Census Area, AK"	"02240"	0	6893	Unreliable
	"Valdez-Cordova Census Area, AK"	"02261"	0	9202	Unreliable
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	8314	Suppressed
	"Wrangell City and Borough, AK"	"02275"	0	2502	Unreliable
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing
	"Yakutat Borough, AK"	"02282"	0	579	Unreliable
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	5230	Suppressed
	"Apache County, AZ"	"04001"	Suppressed	71887	Suppressed
	"Cochise County, AZ"	"04003"	Suppressed	125922	Suppressed
	"Coconino County, AZ"	"04005"	Suppressed	143476	Suppressed
	"Gila County, AZ"	"04007"	Suppressed	54018	Suppressed
	"Graham County, AZ"	"04009"	Suppressed	38837	Suppressed
	"Greenlee County, AZ"	"04011"	0	9498	Unreliable
	"La Paz County, AZ"	"04012"	Suppressed	21108	Suppressed
	"Maricopa County, AZ"	"04013"	189	4485414	4.2
	"Mohave County, AZ"	"04015"	Suppressed	212181	Suppressed
	"Navajo County, AZ"	"04017"	Suppressed	110924	Suppressed
	"Pima County, AZ"	"04019"	47	1047279	4.5
	"Pinal County, AZ"	"04021"	15	462789	Unreliable
	"Santa Cruz County, AZ"	"04023"	Suppressed	46498	Suppressed
	"Yavapai County, AZ"	"04025"	Suppressed	235099	Suppressed
	"Yuma County, AZ"	"04027"	Suppressed	213787	Suppressed
	"Arkansas County, AR"	"05001"	Suppressed	17486	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	19657	Suppressed
	"Baxter County, AR"	"05005"	Suppressed	41932	Suppressed
	"Benton County, AR"	"05007"	Suppressed	279141	Suppressed
	"Boone County, AR"	"05009"	0	37432	Unreliable
	"Bradley County, AR"	"05011"	Suppressed	10763	Suppressed
	"Calhoun County, AR"	"05013"	0	5189	Unreliable
	"Carroll County, AR"	"05015"	0	28380	Unreliable
	"Chicot County, AR"	"05017"	Suppressed	10118	Suppressed
	"Clark County, AR"	"05019"	Suppressed	22320	Suppressed
	"Clay County, AR"	"05021"	0	14551	Unreliable
	"Cleburne County, AR"	"05023"	Suppressed	24919	Suppressed
	"Cleveland County, AR"	"05025"	0	7956	Unreliable
	"Columbia County, AR"	"05027"	Suppressed	23457	Suppressed
	"Conway County, AR"	"05029"	0	20846	Unreliable
	"Craighead County, AR"	"05031"	Suppressed	110332	Suppressed
	"Crawford County, AR"	"05033"	0	63257	Unreliable
	"Crittenden County, AR"	"05035"	Suppressed	47955	Suppressed
	"Cross County, AR"	"05037"	0	16419	Unreliable
	"Dallas County, AR"	"05039"	Suppressed	7009	Suppressed
	"Desha County, AR"	"05041"	Suppressed	11361	Suppressed
	"Drew County, AR"	"05043"	0	18219	Unreliable
	"Faulkner County, AR"	"05045"	Suppressed	126007	Suppressed
	"Franklin County, AR"	"05047"	Suppressed	17715	Suppressed
	"Fulton County, AR"	"05049"	Suppressed	12477	Suppressed
	"Garland County, AR"	"05051"	Suppressed	99386	Suppressed
	"Grant County, AR"	"05053"	Suppressed	18265	Suppressed
	"Greene County, AR"	"05055"	0	45325	Unreliable
	"Hempstead County, AR"	"05057"	Suppressed	21532	Suppressed
	"Hot Spring County, AR"	"05059"	Suppressed	33771	Suppressed
	"Howard County, AR"	"05061"	Suppressed	13202	Suppressed
	"Independence County, AR"	"05063"	Suppressed	37825	Suppressed
	"Izard County, AR"	"05065"	Suppressed	13629	Suppressed
	"Jackson County, AR"	"05067"	Suppressed	16719	Suppressed
	"Jefferson County, AR"	"05069"	25	66824	37.4
	"Johnson County, AR"	"05071"	Suppressed	26578	Suppressed
	"Lafayette County, AR"	"05073"	Suppressed	6624	Suppressed
	"Lawrence County, AR"	"05075"	Suppressed	16406	Suppressed
	"Lee County, AR"	"05077"	Suppressed	8857	Suppressed
	"Lincoln County, AR"	"05079"	Suppressed	13024	Suppressed
	"Little River County, AR"	"05081"	0	12259	Unreliable
	"Logan County, AR"	"05083"	0	21466	Unreliable
	"Lonoke County, AR"	"05085"	Suppressed	73309	Suppressed
	"Madison County, AR"	"05087"	0	16576	Unreliable
	"Marion County, AR"	"05089"	0	16694	Unreliable
	"Miller County, AR"	"05091"	Suppressed	43257	Suppressed
