year,state,all_firearms_recovered,city,firearm_by_city,population,top_categ_reported,top15_sourcer_states,time_to_crime,age_of_possessors
2014,Alabama,5891,Huntsville,687,,,,,
2014,Alabama,,Mobile,660,,,,,
2014,Alabama,,Tuscaloosa,217,,,,,
2014,Alabama,,Bessemer,203,,,,,
2014,Alabama,,Selma,140,,,,,
2014,Alabama,,Opelika,119,,,,,
2014,Alabama,,Montgomery,115,,,,,
2014,Alabama,,Homewood,109,,,,,
2014,Alabama,,Gadsden,106,,,,,
2014,Alabama,,Phenix City,104,,,,,
2014,Alabama,,Birmingham,1582,,,,,
,,,,,,,,,
2014,Alaska,714,Fairbanks,86,,,,,
2014,Alaska,,Juneau,65,,,,,
2014,Alaska,,Eagle River,19,,,,,
2014,Alaska,,North Pole,19,,,,,
2014,Alaska,,Soldotna,15,,,,,
2014,Alaska,,Wasilla,15,,,,,
2014,Alaska,,Houston,14,,,,,
2014,Alaska,,Chugiak,11,,,,,
2014,Alaska,,Kenai,10,,,,,
2014,Alaska,,Anchorage,402,,,,,
,,,,,,,,,
2014,Arizona,7610,Tucson,1723,,,,,
2014,Arizona,,Tempe,388,,,,,
2014,Arizona,,Scottsdale,245,,,,,
2014,Arizona,,Gilbert,243,,,,,
2014,Arizona,,Glendale,186,,,,,
2014,Arizona,,Chandler,164,,,,,
2014,Arizona,,Mesa,134,,,,,
2014,Arizona,,Apache Junction,110,,,,,
2014,Arizona,,Goodyear,106,,,,,
2014,Arizona,,Phoenix,2686,,,,,
,,,,,,,,,
2014,Arkansas,933,Newport,91,,,,,
2014,Arkansas,,Little Rock,68,,,,,
2014,Arkansas,,Fayetteville,66,,,,,
2014,Arkansas,,Conway,43,,,,,
2014,Arkansas,,Texarkana,27,,,,,
2014,Arkansas,,Ash Flat,21,,,,,
2014,Arkansas,,Blytheville,20,,,,,
2014,Arkansas,,Clinton,20,,,,,
2014,Arkansas,,North Little Rock,190,,,,,
2014,Arkansas,,Hot Springs,100,,,,,
,,,,,,,,,
2014,California,34890,Sacramento,1404,,,,,
2014,California,,Oakland,1116,,,,,
2014,California,,Fresno,854,,,,,
2014,California,,San Diego,838,,,,,
2014,California,,San Francisco,687,,,,,
2014,California,,Bakersfield,640,,,,,
2014,California,,Modesto,616,,,,,
2014,California,,San Bernardino,545,,,,,
2014,California,,Compton,441,,,,,
2014,California,,Los Angeles,4864,,,,,
,,,,,,,,,
2014,Colorado,3389,Colorado Springs,545,,,,,
2014,Colorado,,Pueblo,219,,,,,
2014,Colorado,,Grand Junction,214,,,,,
2014,Colorado,,Lakewood,189,,,,,
2014,Colorado,,Aurora,157,,,,,
2014,Colorado,,Durango,90,,,,,
2014,Colorado,,North Glenn,54,,,,,
2014,Colorado,,Littleton,47,,,,,
2014,Colorado,,Golden,45,,,,,
2014,Colorado,,Denver,1021,,,,,
,,,,,,,,,
2014,Connecticut,1830,Milford,175,,,,,
2014,Connecticut,,Bridgeport,117,,,,,
2014,Connecticut,,New Haven,69,,,,,
2014,Connecticut,,Waterbury,52,,,,,
2014,Connecticut,,Sharon,42,,,,,
2014,Connecticut,,Hamden,39,,,,,
2014,Connecticut,,Avon,34,,,,,
2014,Connecticut,,Suffield,23,,,,,
2014,Connecticut,,New Britain,463,,,,,
2014,Connecticut,,Hartford,402,,,,,
,,,,,,,,,
2014,Delaware,949,Newark,118,,,,,
2014,Delaware,,Dover,76,,,,,
2014,Delaware,,New Castle,63,,,,,
2014,Delaware,,Seaford,36,,,,,
2014,Delaware,,Bear,29,,,,,
2014,Delaware,,Georgetown,28,,,,,
2014,Delaware,,Middletown,24,,,,,
2014,Delaware,,Millsboro,24,,,,,
2014,Delaware,,Bridgeville,21,,,,,
2014,Delaware,,Felton,21,,,,,
2014,Delaware,,Wilmington,363,,,,,
,,,,,,,,,
2014,District of Columbia,1345,"Washington, DC",1345,,,,,
,,,,,,,,,
2014,Florida,19592,Orlando,1601,,,,,
2014,Florida,,Miami,1091,,,,,
2014,Florida,,Pensacola,691,,,,,
2014,Florida,,West Palm Beach,647,,,,,
2014,Florida,,Lakeland,513,,,,,
2014,Florida,,St. Petersburg,438,,,,,
2014,Florida,,Ft. Myers,290,,,,,
2014,Florida,,Gainesville,276,,,,,
2014,Florida,,Jacksonville,1917,,,,,
2014,Florida,,Tampa,1881,,,,,
,,,,,,,,,
2014,Georgia,11241,Augusta,680,,,,,
2014,Georgia,,Savannah,613,,,,,
2014,Georgia,,Macon,488,,,,,
2014,Georgia,,Marietta,415,,,,,
2014,Georgia,,Decatur,310,,,,,
2014,Georgia,,Columbus,261,,,,,
2014,Georgia,,College Park,252,,,,,
2014,Georgia,,Jonesboro,245,,,,,
2014,Georgia,,Norcross,198,,,,,
2014,Georgia,,Atlanta,1952,,,,,
,,,,,,,,,
2014,Guam & Northern Mariana Islands,29,Saipan,4,,,,,
2014,Guam & Northern Mariana Islands,,Barrigada,3,,,,,
2014,Guam & Northern Mariana Islands,,Agat,2,,,,,
2014,Guam & Northern Mariana Islands,,Tamuning,2,,,,,
2014,Guam & Northern Mariana Islands,,Yigo,2,,,,,
2014,Guam & Northern Mariana Islands,,Maite,1,,,,,
2014,Guam & Northern Mariana Islands,,Mangilao,1,,,,,
2014,Guam & Northern Mariana Islands,,Unknown,1,,,,,
2014,Guam & Northern Mariana Islands,,Dededo,7,,,,,
2014,Guam & Northern Mariana Islands,,Ordot,6,,,,,
,,,,,,,,,
2014,Hawaii,128,Waimea,12,,,,,
2014,Hawaii,,Hilo,11,,,,,
2014,Hawaii,,Kapaa,8,,,,,
2014,Hawaii,,Kailua Kona,7,,,,,
2014,Hawaii,,Lihue,7,,,,,
2014,Hawaii,,Honolulu,15,,,,,
2014,Hawaii,,Kailua,13,,,,,
2014,Hawaii,,Kaneohe,12,,,,,
,,,,,,,,,
2014,Idaho,834,Twin Falls,70,,,,,
2014,Idaho,,Nampa,54,,,,,
2014,Idaho,,Coeur D'Alene,49,,,,,
2014,Idaho,,Post Falls,37,,,,,
2014,Idaho,,Idaho Falls,32,,,,,
2014,Idaho,,Hayden,29,,,,,
2014,Idaho,,Meridian,29,,,,,
2014,Idaho,,Jerome,23,,,,,
2014,Idaho,,Boise,216,,,,,
2014,Idaho,,Moscow,84,,,,,
,,,,,,,,,
2014,Illinois,11568,Chicago,6429,,,,,
2014,Illinois,,Rockford,370,,,,,
2014,Illinois,,Joliet,238,,,,,
2014,Illinois,,Springfield,183,,,,,
2014,Illinois,,Peoria,183,,,,,
2014,Illinois,,Dixmoor,164,,,,,
2014,Illinois,,East Saint Louis,137,,,,,
2014,Illinois,,Aurora,116,,,,,
2014,Illinois,,Washington Park,113,,,,,
2014,Illinois,,Harvey,105,,,,,
,,,,,,,,,
2014,Indiana,5587,Fort Wayne,643,,,,,
2014,Indiana,,Gary,382,,,,,
2014,Indiana,,South Bend,378,,,,,
2014,Indiana,,Evansville,201,,,,,
2014,Indiana,,Hammond,146,,,,,
2014,Indiana,,Kokomo,124,,,,,
2014,Indiana,,Muncie,113,,,,,
2014,Indiana,,Elkhart,111,,,,,
2014,Indiana,,Marion,52,,,,,
2014,Indiana,,Indianapolis,2655,,,,,
,,,,,,,,,
2014,Iowa,1461,Cedar Rapids,148,,,,,
2014,Iowa,,Davenport,139,,,,,
2014,Iowa,,Sioux City,101,,,,,
2014,Iowa,,Waterloo,72,,,,,
2014,Iowa,,Council Bluffs,54,,,,,
2014,Iowa,,Fort Dodge,45,,,,,
2014,Iowa,,Fontanelle,33,,,,,
2014,Iowa,,Swisher,29,,,,,
2014,Iowa,,Clinton,24,,,,,
2014,Iowa,,Des Moines,385,,,,,
,,,,,,,,,
2014,Kansas,2248,Kansas City,405,,,,,
2014,Kansas,,Topeka,267,,,,,
2014,Kansas,,Salina,105,,,,,
2014,Kansas,,Junction City,71,,,,,
2014,Kansas,,Lawrence,52,,,,,
2014,Kansas,,Garden City,42,,,,,
2014,Kansas,,Dodge City,40,,,,,
2014,Kansas,,Olathe,40,,,,,
2014,Kansas,,Ottawa,33,,,,,
2014,Kansas,,Wichita,850,,,,,
,,,,,,,,,
2014,Kentucky,3165,Lexington,443,,,,,
2014,Kentucky,,Hopkinsville,104,,,,,
2014,Kentucky,,Richmond,73,,,,,
2014,Kentucky,,Covington,58,,,,,
2014,Kentucky,,Franklin,50,,,,,
2014,Kentucky,,Bardstown,41,,,,,
2014,Kentucky,,Fort Campbell,35,,,,,
2014,Kentucky,,Versailles,35,,,,,
2014,Kentucky,,Owensboro,30,,,,,
2014,Kentucky,,Louisville,1737,,,,,
,,,,,,,,,
2014,Louisiana,7213,Baton Rouge,1157,,,,,
2014,Louisiana,,Shreveport,689,,,,,
2014,Louisiana,,Lake Charles,240,,,,,
2014,Louisiana,,Lafayette,203,,,,,
2014,Louisiana,,Metairie,182,,,,,
2014,Louisiana,,Marrero,141,,,,,
2014,Louisiana,,Slidell,139,,,,,
2014,Louisiana,,Jefferson,134,,,,,
2014,Louisiana,,Gretna,133,,,,,
2014,Louisiana,,New Orleans,1323,,,,,
,,,,,,,,,
2014,Maine,316,Mount Vernon,14,,,,,
2014,Maine,,Buxton,12,,,,,
2014,Maine,,Minot,12,,,,,
2014,Maine,,Gorham,11,,,,,
2014,Maine,,Kittery,9,,,,,
2014,Maine,,Saco,9,,,,,
2014,Maine,,Bisworth,8,,,,,
2014,Maine,,Poland,8,,,,,
2014,Maine,,Windham,8,,,,,
2014,Maine,,Portland,49,,,,,
2014,Maine,,Lewiston,22,,,,,
,,,,,,,,,
2014,Maryland,7706,Silver Spring,253,,,,,
2014,Maryland,,Frederick,189,,,,,
2014,Maryland,,Waldorf,171,,,,,
2014,Maryland,,Glen Burnie,162,,,,,
2014,Maryland,,Hagerstown,159,,,,,
2014,Maryland,,Elkton,150,,,,,
2014,Maryland,,Gaithersburg,141,,,,,
2014,Maryland,,Capitol Heights,130,,,,,
2014,Maryland,,Temple Hills,129,,,,,
2014,Maryland,,Baltimore,2031,,,,,
,,,,,,,,,
2014,Massachusetts,1538,Holyoke,94,,,,,
2014,Massachusetts,,Lynn,78,,,,,
2014,Massachusetts,,Brockton,56,,,,,
2014,Massachusetts,,New Bedford,53,,,,,
2014,Massachusetts,,Lawrence,49,,,,,
2014,Massachusetts,,Springfield,46,,,,,
2014,Massachusetts,,Lowell,45,,,,,
2014,Massachusetts,,Attleboro,44,,,,,
2014,Massachusetts,,Saugus,38,,,,,
2014,Massachusetts,,Boston,598,,,,,
,,,,,,,,,
2014,Michigan,6024,Detroit,3601,,,,,
2014,Michigan,,Flint,219,,,,,
