,Distribution,Beta,N,topk,sigma,B_hat,Bh_L,Bh_H,R2
0,Normal,0.8333333333333334,10,0.5,0.05,0.5886607030394089,-0.725289958869457,1.9026113649482748,0.4039100660874253
1,Normal,0.8333333333333334,10,0.5,0.05,1.1156170097646623,-0.5132535516307679,2.7444875711600925,0.6129500237136073
2,Normal,0.8333333333333334,10,0.5,0.05,0.44108396773358294,-0.6825711344590795,1.5647390699262453,0.3421954740888914
3,Normal,0.8333333333333334,10,0.5,0.05,0.5467863108198685,-0.38282810763267583,1.4764007292724128,0.538738313183283
4,Normal,0.8333333333333334,10,0.5,0.05,0.36693847594975004,0.20457346713964472,0.5293034847598553,0.9451832269122922
5,Normal,0.8333333333333334,10,0.5,0.05,0.8510590462851795,0.35183767678501826,1.3502804157853407,0.9075056176009576
6,Normal,0.8333333333333334,10,0.5,0.05,0.5620797995115545,-0.23305912861762512,1.3572187276407341,0.6278354536694638
7,Normal,0.8333333333333334,10,0.5,0.05,0.9730687030330252,-0.6158642202243549,2.5620016262904053,0.5587181964814136
8,Normal,0.8333333333333334,10,0.5,0.05,1.2121205969133726,-0.23190259094648047,2.6561437847732257,0.7040303693453842
9,Normal,0.8333333333333334,10,0.5,0.05,1.0615221401130555,-0.8999665175946581,3.0230107978207688,0.4971721252736764
10,Normal,0.8333333333333334,10,0.5,0.05,0.5793796039640711,-0.14011906092203896,1.298878268850181,0.6864327683203577
11,Normal,0.8333333333333334,10,0.5,0.05,0.4202561779160945,0.11130065847174253,0.7292116973604464,0.8620024739306812
12,Normal,0.8333333333333334,10,0.5,0.05,0.08570365332024821,-0.5417248148589808,0.7131321214994772,0.0592573183573164
13,Normal,0.8333333333333334,10,0.5,0.05,0.5197662453294534,-0.4028271340248293,1.442359624683736,0.5172604498988869
14,Normal,0.8333333333333334,10,0.5,0.05,0.5783817542766627,-2.0394560125546985,3.196219521108024,0.14147999761635488
15,Normal,0.8333333333333334,10,0.5,0.05,0.3854861033649186,-0.3706808655382581,1.1416530722680953,0.4673400537079565
16,Normal,0.8333333333333334,10,0.5,0.05,0.4758247095921746,-1.5230760437190065,2.474725462903356,0.16058009097438042
17,Normal,0.8333333333333334,10,0.5,0.05,0.6330551916224536,0.00711247964378614,1.258997903601121,0.7754396351705958
18,Normal,0.8333333333333334,10,0.5,0.05,0.545176174548196,-0.3030505626379013,1.3934029117342934,0.5823943208444593
19,Normal,0.8333333333333334,10,0.5,0.05,0.6596486556036893,-1.0256366835065633,2.344933994713942,0.3409019159904868
20,Normal,0.8333333333333334,10,0.5,0.05,0.27423798674494293,-0.0821253053134961,0.6306012788033819,0.666584903951776
